
#
# Results on Tuesday November 05 2019 22:42:12 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36
# Design number was non-random = 1
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,_REACTION_TIME_,2446
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,_REACTION_TIME_,6317
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,5,0,practice-some,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 20% of the glerbs are fizda.</font></i></div></center><h2>Some of the glerbs are fizda.</h2></body>,True,NULL,2708
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,20,0,Test-More-than-half-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that more than half of the coamins are mucond.</h2></body>,True,NULL,2316
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,142,0,Test-All-Neg-89-padnet-fanely,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>89% of the padnets are fanely.</font></i></div></center><h2>It is not the case that all of the padnets are fanely.</h2></body>,True,NULL,1987
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,128,0,Test-All-Neg-51-pluset-stubad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>51% of the plusets are stubad.</font></i></div></center><h2>It is not the case that all of the plusets are stubad.</h2></body>,True,NULL,2043
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,97,0,Test-Some-76-jallem-sildal,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>76% of the jallems are sildal.</font></i></div></center><h2>Some of the jallems are sildal.</h2></body>,True,NULL,2342
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,62,0,Test-All-19-mecket-plumry,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>19% of the meckets are plumry.</font></i></div></center><h2>All of the meckets are plumry.</h2></body>,False,NULL,1325
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,44,0,Test-More-than-half-77-pirter-secent,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>77% of the pirters are secent.</font></i></div></center><h2>It is not the case that more than half of the pirters are secent.</h2></body>,False,NULL,3158
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,17,0,Test-More-than-half-11-spunge-wenple,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>11% of the spunges are wenple.</font></i></div></center><h2>It is not the case that more than half of the spunges are wenple.</h2></body>,True,NULL,2801
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,57,0,Test-Some-16-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>16% of the puggles are entand.</font></i></div></center><h2>Some of the puggles are entand.</h2></body>,True,NULL,1051
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,141,0,Test-Some-Neg-82-padnet-fanely,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>82% of the padnets are fanely.</font></i></div></center><h2>It is not the case that some of the padnets are fanely.</h2></body>,False,NULL,3385
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,81,0,Test-Some-59-umpond-marire,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>59% of the umponds are marire.</font></i></div></center><h2>Some of the umponds are marire.</h2></body>,True,NULL,2526
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,9,0,Test-More-than-half-12-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>12% of the puggles are entand.</font></i></div></center><h2>It is not the case that more than half of the puggles are entand.</h2></body>,True,NULL,2416
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,146,0,Test-All-Neg-80-dorder-coggon,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>80% of the dorders are coggon.</font></i></div></center><h2>It is not the case that all of the dorders are coggon.</h2></body>,True,NULL,1535
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,22,0,Test-More-than-half-37-middor-drooty,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>37% of the middors are drooty.</font></i></div></center><h2>It is not the case that more than half of the middors are drooty.</h2></body>,True,NULL,5336
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,87,0,Test-Some-61-menner-nandow,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>61% of the menners are nandow.</font></i></div></center><h2>Some of the menners are nandow.</h2></body>,True,NULL,2706
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,60,0,Test-All-21-chulk-vulhor,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>21% of the chulks are vulhor.</font></i></div></center><h2>All of the chulks are vulhor.</h2></body>,False,NULL,1550
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,83,0,Test-Some-71-cather-funder,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>71% of the cathers are funder.</font></i></div></center><h2>Some of the cathers are funder.</h2></body>,True,NULL,1318
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,93,0,Test-Some-92-pobbit-spippy,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>92% of the pobbits are spippy.</font></i></div></center><h2>Some of the pobbits are spippy.</h2></body>,True,NULL,1090
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,101,0,Test-Some-80-awplor-fasees,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>80% of the awplors are fasees.</font></i></div></center><h2>Some of the awplors are fasees.</h2></body>,True,NULL,1349
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,149,0,Test-Some-Neg-87-ingell-nalill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>87% of the ingells are nalill.</font></i></div></center><h2>It is not the case that some of the ingells are nalill.</h2></body>,False,NULL,1810
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,7,0,Test-More-than-half-3-kustle-reshix,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>3% of the kustles are reshix.</font></i></div></center><h2>It is not the case that more than half of the kustles are reshix.</h2></body>,True,NULL,2720
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,92,0,Test-All-97-sporer-firtly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>97% of the sporers are firtly.</font></i></div></center><h2>All of the sporers are firtly.</h2></body>,False,NULL,1242
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,8,0,Test-More-than-half-13-beckel-racual,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>13% of the beckels are racual.</font></i></div></center><h2>It is not the case that more than half of the beckels are racual.</h2></body>,True,NULL,2218
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,13,0,Test-More-than-half-20-mecket-plumry,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>20% of the meckets are plumry.</font></i></div></center><h2>It is not the case that more than half of the meckets are plumry.</h2></body>,True,NULL,1630
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,123,0,Test-Some-Neg-35-tiklet-hullaw,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>35% of the tiklets are hullaw.</font></i></div></center><h2>It is not the case that some of the tiklets are hullaw.</h2></body>,False,NULL,1757
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,69,0,Test-Some-30-shamer-bloif,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>30% of the shamers are bloif.</font></i></div></center><h2>Some of the shamers are bloif.</h2></body>,True,NULL,1075
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,11,0,Test-More-than-half-18-chulk-vulhor,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>18% of the chulks are vulhor.</font></i></div></center><h2>It is not the case that more than half of the chulks are vulhor.</h2></body>,True,NULL,3771
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,116,0,Test-All-Neg-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that all of the coamins are mucond.</h2></body>,True,NULL,1838
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,37,0,Test-More-than-half-55-birler-enciad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>55% of the birlers are enciad.</font></i></div></center><h2>It is not the case that more than half of the birlers are enciad.</h2></body>,False,NULL,2237
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,114,0,Test-All-Neg-3-shrile-athoid,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>3% of the shriles are athoid.</font></i></div></center><h2>It is not the case that all of the shriles are athoid.</h2></body>,True,NULL,2650
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,34,0,Test-More-than-half-61-russer-huttle,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>61% of the russers are huttle.</font></i></div></center><h2>It is not the case that more than half of the russers are huttle.</h2></body>,False,NULL,2269
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,112,0,Test-All-Neg-5-schook-jabant,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>5% of the schooks are jabant.</font></i></div></center><h2>It is not the case that all of the schooks are jabant.</h2></body>,True,NULL,2368
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,32,0,Test-More-than-half-59-pluset-stubad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>59% of the plusets are stubad.</font></i></div></center><h2>It is not the case that more than half of the plusets are stubad.</h2></body>,False,NULL,7449
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,49,0,Test-More-than-half-88-jallem-sildal,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>88% of the jallems are sildal.</font></i></div></center><h2>It is not the case that more than half of the jallems are sildal.</h2></body>,False,NULL,1815
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,23,0,Test-More-than-half-46-ancit-smeath,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>46% of the ancits are smeath.</font></i></div></center><h2>It is not the case that more than half of the ancits are smeath.</h2></body>,True,NULL,2606
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,Question2,145,0,Test-Some-Neg-77-dorder-coggon,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>77% of the dorders are coggon.</font></i></div></center><h2>It is not the case that some of the dorders are coggon.</h2></body>,False,NULL,2127
# The lines below this comment are in groups of 2.
# The formats of the lines in each of these groups are as follows:
#
# Line 1:
#     Col. 1: Time results were received.
#     Col. 2: MD5 hash of participant's IP address.
#     Col. 3: Controller name.
#     Col. 4: Item number.
#     Col. 5: Element number.
#     Col. 6: Type.
#     Col. 7: Group.
#     Col. 8: html.
#     Col. 9: value.
# Line 2:
#     Col. 1: Time results were received.
#     Col. 2: MD5 hash of participant's IP address.
#     Col. 3: Controller name.
#     Col. 4: Item number.
#     Col. 5: Element number.
#     Col. 6: Type.
#     Col. 7: Group.
#     Col. 8: Field name.
#     Col. 9: Field value.
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,SliderQuestion1,4,0,Criterionneg1,NULL,<center><p style=" font-size: 1.4em;font-family: Book Antiqua%2C Palatino%2C serif;">It is not the case that more than half of the kallils are namib.</p><p %2C="" style="width:500px;" align="justify"><i>In this study%2C we are interested in how people interpret sentences which begin with "It is not the case that more than half of the"%2C such as the sentence above. We would like to know what your criterion was in the task you have just completed to say that such sentences are true. What is the maximum percentage that you would understand of kallils to be namib? Please position the slider below as close as possible to that percentage. Once you have done that%2C press 'Continue'.</i></p></center>,40.40
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,NewForm,151,0,form,NULL,language,English
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,NewForm,151,0,form,NULL,ProlificID,5b3d85dfdce14600011001b1
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,NewForm,151,0,form,NULL,comment,
1572994011,62cf0f96c2f9df90f4f1566cdb6fb33f,NewForm,151,0,form,NULL,_REACTION_TIME_,6750
#
# Results on Tuesday November 05 2019 22:47:40 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
# Design number was non-random = 1
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,NewForm,0,0,agreement,NULL,,yes
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,NewForm,0,0,agreement,NULL,_REACTION_TIME_,25209
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,NewForm,1,0,instructions1,NULL,,yes
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,NewForm,1,0,instructions1,NULL,_REACTION_TIME_,8429
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,5,0,practice-some,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 20% of the glerbs are fizda.</font></i></div></center><h2>Some of the glerbs are fizda.</h2></body>,True,NULL,3343
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,6,0,practice-all,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 82% of the thonks are crangly.</font></i></div></center><h2>All of the thonks are crangly.</h2></body>,False,NULL,2273
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,129,0,Test-Some-Neg-58-russer-huttle,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>58% of the russers are huttle.</font></i></div></center><h2>It is not the case that some of the russers are huttle.</h2></body>,False,NULL,9954
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,83,0,Test-Some-71-cather-funder,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>71% of the cathers are funder.</font></i></div></center><h2>Some of the cathers are funder.</h2></body>,False,NULL,6109
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,118,0,Test-All-Neg-38-middor-drooty,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>38% of the middors are drooty.</font></i></div></center><h2>It is not the case that all of the middors are drooty.</h2></body>,True,NULL,5150
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,9,0,Test-More-than-half-12-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>12% of the puggles are entand.</font></i></div></center><h2>It is not the case that more than half of the puggles are entand.</h2></body>,True,NULL,8953
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,53,0,Test-More-than-half-84-awplor-fasees,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>84% of the awplors are fasees.</font></i></div></center><h2>It is not the case that more than half of the awplors are fasees.</h2></body>,False,NULL,6066
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,147,0,Test-Some-Neg-95-chevel-podden,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>95% of the chevels are podden.</font></i></div></center><h2>It is not the case that some of the chevels are podden.</h2></body>,True,NULL,7483
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,57,0,Test-Some-16-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>16% of the puggles are entand.</font></i></div></center><h2>Some of the puggles are entand.</h2></body>,True,NULL,3466
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,80,0,Test-All-68-strant-potind,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>68% of the strants are potind.</font></i></div></center><h2>All of the strants are potind.</h2></body>,False,NULL,1531
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,90,0,Test-All-70-pliper-sesare,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>70% of the plipers are sesare.</font></i></div></center><h2>All of the plipers are sesare.</h2></body>,False,NULL,2027
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,70,0,Test-All-39-shamer-bloif,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>39% of the shamers are bloif.</font></i></div></center><h2>All of the shamers are bloif.</h2></body>,False,NULL,1856
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,150,0,Test-All-Neg-88-ingell-nalill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>88% of the ingells are nalill.</font></i></div></center><h2>It is not the case that all of the ingells are nalill.</h2></body>,True,NULL,2884
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,107,0,Test-Some-Neg-24-werner-hurmer,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>24% of the werners are hurmer.</font></i></div></center><h2>It is not the case that some of the werners are hurmer.</h2></body>,False,NULL,6199
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,42,0,Test-More-than-half-73-coppar-hunene,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>73% of the coppars are hunene.</font></i></div></center><h2>It is not the case that more than half of the coppars are hunene.</h2></body>,False,NULL,5624
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,84,0,Test-All-62-cather-funder,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>62% of the cathers are funder.</font></i></div></center><h2>All of the cathers are funder.</h2></body>,False,NULL,1998
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,139,0,Test-Some-Neg-93-pirter-secent,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>93% of the pirters are secent.</font></i></div></center><h2>It is not the case that some of the pirters are secent.</h2></body>,True,NULL,6605
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,68,0,Test-All-25-cosut-spover,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>25% of the cosuts are spover.</font></i></div></center><h2>All of the cosuts are spover.</h2></body>,False,NULL,3464
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,25,0,Test-More-than-half-42-hadder-ollidy,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>42% of the hadders are ollidy.</font></i></div></center><h2>It is not the case that more than half of the hadders are ollidy.</h2></body>,True,NULL,4132
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,116,0,Test-All-Neg-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that all of the coamins are mucond.</h2></body>,True,NULL,4094
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,137,0,Test-Some-Neg-53-coppar-hunene,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>53% of the coppars are hunene.</font></i></div></center><h2>It is not the case that some of the coppars are hunene.</h2></body>,True,NULL,6076
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,76,0,Test-All-30-fleeve-scalfs,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>30% of the fleeves are scalfs.</font></i></div></center><h2>All of the fleeves are scalfs.</h2></body>,False,NULL,1488
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,121,0,Test-Some-Neg-31-zetten-unfobs,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>31% of the zettens are unfobs.</font></i></div></center><h2>It is not the case that some of the zettens are unfobs.</h2></body>,False,NULL,5136
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,102,0,Test-All-94-awplor-fasees,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>94% of the awplors are fasees.</font></i></div></center><h2>All of the awplors are fasees.</h2></body>,False,NULL,2819
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,144,0,Test-All-Neg-84-devole-sholly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>84% of the devoles are sholly.</font></i></div></center><h2>It is not the case that all of the devoles are sholly.</h2></body>,True,NULL,2141
1572994061,882eb9eed8b9b5270780ef6f52bc8ccb,Question2,46,0,Test-More-than-half-81-padnet-fanely,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>81% of the padnets are fanely.</font></i></div></center><h2>It is not the case that more than half of the padnets are fanely.</h2></body>,False,NULL,3660
